ENRLMT_ID,NPI
O20030624000010,1144332941
O20030626000011,1548225360
O20030627000014,1124075536
O20030627000017,1013136209
O20030627000017,1295954485
O20030627000017,1417335860
O20030627000017,1437378627
O20030627000017,1457414948
O20030627000017,1518346980
O20030627000017,1528287711
O20030627000017,1760741334
O20030627000017,1831318021
O20030627000017,1881876886
O20030627000019,1184155426
O20030627000019,1457414948
O20030627000019,1770687857
O20030627000019,1861676298
O20030630000020,1023220357
O20030630000020,1124107487
O20030630000020,1558428482
O20030630000020,1710079744
O20030630000020,1770702441
O20030630000020,1841341872
O20030630000020,1861567828
O20030630000020,1932278421
O20030630000021,1912904145
O20030702000029,1184866956
O20030702000029,1336465038
O20030702000029,1477509776
O20030702000029,1538571914
O20030702000029,1568418861
O20030702000029,1649223603
O20030702000029,1730134891
O20030702000029,1740393032
O20030702000029,1891740957
O20030702000029,1932415643
O20030707000001,1467487637
O20030707000040,1578272266
O20030708000028,1194922906
O20030708000035,1548800154
O20030708000035,1720628332
O20030708000040,1982733408
O20030714000011,1639115272
O20030714000011,1972678605
O20030715000036,1174577993
O20030723000002,1285713859
O20030723000002,1396119616
O20030724000021,1346587334
O20030724000021,1518478403
O20030724000036,1619059250
O20030724000036,1861688996
O20030724000036,1881784429
O20030726000001,1396764353
O20030726000001,1700087590
O20030728000007,1588219117
O20030728000007,1982289690
O20030728000014,1114950763
O20030728000014,1184660599
O20030728000014,1215966874
O20030728000014,1215969472
O20030728000014,1326077975
O20030728000014,1417986068
O20030728000014,1447289095
O20030728000014,1467013581
O20030728000014,1487687034
O20030728000014,1801832217
O20030728000014,1851324404
O20030728000014,1902996333
O20030729000024,1396969499
O20030731000003,1114063203
O20030731000003,1124561758
O20030731000003,1275076325
O20030731000003,1285177337
O20030731000003,1437292927
O20030731000003,1467990465
O20030804000007,1235345695
O20030804000008,1427313048
O20030804000033,1134128820
O20030804000034,1134128820
O20030804000035,1134128820
O20030804000037,1134128820
O20030804000039,1134128820
O20030812000060,1053313593
O20030812000060,1508868035
O20030812000060,1891775128
O20030812000063,1053313593
O20030812000063,1508868035
O20030812000063,1891775128
O20030812000065,1053313593
O20030819000041,1124155775
O20030819000041,1407983166
O20030819000041,1467589028
O20030819000047,1235377037
O20030822000006,1083629752
O20030822000006,1639184302
O20030822000006,1669197752
O20030826000037,1093674301
O20030826000037,1649123589
O20030829000035,1710080171
O20030902000042,1013564517
O20030902000042,1093357907
O20030902000042,1215585377
O20030902000042,1285282350
O20030902000042,1306493879
O20030902000042,1336252295
O20030902000042,1457417966
O20030902000042,1467000539
O20030902000042,1477101541
O20030902000042,1477101608
O20030902000042,1477215663
O20030902000042,1487202552
O20030902000042,1487803383
O20030902000042,1497302871
O20030902000042,1528606316
O20030902000042,1538225297
O20030902000042,1568121622
O20030902000042,1598313553
O20030902000042,1609822030
O20030902000042,1669020731
O20030902000042,1679686992
O20030902000042,1700424595
O20030902000042,1710534292
O20030902000042,1730735531
O20030902000042,1740837137
O20030902000042,1740837210
O20030902000042,1760595086
O20030902000042,1801433867
O20030902000042,1851938815
O20030902000042,1922655422
O20030902000042,1922659044
O20030902000042,1942536990
O20030902000042,1942858014
O20030902000042,1992353064
O20030903000008,1306873088
O20030904000010,1083658397
O20030904000010,1215979943
O20030904000010,1285676692
O20030904000010,1427090182
O20030904000010,1619919024
O20030904000010,1639113947
O20030904000010,1730120650
O20030904000010,1902847833
O20030904000010,1942244702
O20030905000026,1093056475
O20030905000027,1326025149
O20030909000021,1205879426
O20030910000014,1679587679
O20030910000046,1356498505
O20030912000007,1780623132
O20030912000007,1972604783
O20030912000022,1285870618
O20030912000022,1356783286
O20030912000022,1548468648
O20030912000022,1922431329
O20030913000002,1750332565
O20030915000012,1003170937
O20030915000012,1013384809
O20030915000012,1033491741
O20030915000012,1063708501
O20030915000012,1093555120
O20030915000012,1104682061
O20030915000012,1144301102
O20030915000012,1154617694
O20030915000012,1235215427
O20030915000012,1245632231
O20030915000012,1275832164
O20030915000012,1275850620
O20030915000012,1417231937
O20030915000012,1427344969
O20030915000012,1457181422
O20030915000012,1457650343
O20030915000012,1467748475
O20030915000012,1659762862
O20030915000012,1669768289
O20030915000012,1770879215
O20030915000012,1790128254
O20030915000012,1801418306
O20030915000012,1851508162
O20030915000012,1982037966
O20030915000012,1982988408
O20030915000014,1063743078
O20030915000014,1902847973
O20030916000032,1437927431
O20030916000035,1437927431
O20030917000018,1427612613
O20030923000034,1023976826
O20030923000034,1124051305
O20030923000034,1205869492
O20030923000034,1447289095
O20030923000034,1467484618
O20030923000034,1508881350
O20030923000034,1629936323
O20030923000034,1689604639
O20030923000034,1861421414
O20030923000034,1942352257
O20030923000034,1952334146
O20030923000034,1952334153
O20030923000057,1235792003
O20030924000019,1619908118
O20030925000001,1811962848
O20030929000007,1790339992
O20030930000025,1285628594
O20031002000014,1235488438
O20031002000016,1881601839
O20031002000034,1003319500
O20031002000034,1033288444
O20031002000034,1184708992
O20031002000034,1477622595
O20031002000034,1811041692
O20031007000059,1033441761
O20031007000059,1144329541
O20031007000059,1427141092
O20031007000059,1629163738
O20031007000059,1639262397
O20031008000017,1053993048
O20031008000017,1083630362
O20031008000017,1114526969
O20031008000017,1356455489
O20031008000017,1386660660
O20031008000017,1457094534
O20031008000017,1467881565
O20031008000017,1558787838
O20031008000017,1578597589
O20031008000017,1619993904
O20031008000017,1629540638
O20031008000017,1679143648
O20031008000041,1356415699
O20031010000007,1699191999
O20031010000010,1558054684
O20031013000031,1912992827
O20031013000032,1548328610
O20031015000023,1851833230
O20031015000025,1306821798
O20031015000025,1417000837
O20031015000025,1487707964
O20031015000041,1750381422
O20031020000012,1063155653
O20031020000012,1114026200
O20031020000012,1639682545
O20031020000012,1669571733
O20031020000012,1710552047
O20031020000012,1740878214
O20031020000012,1821671769
O20031021000001,1689627655
O20031021000001,1952348021
O20031021000008,1174523666
O20031022000027,1598764920
